product	product_lc
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	spermidine putrescine abc transporter permease component potc (tc_3.a.1.11.1)
Spermidine Putrescine ABC transporter permease component potB (TC_3.A.1.11.1)	spermidine putrescine abc transporter permease component potb (tc_3.a.1.11.1)
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	abc transporter, periplasmic spermidine putrescine-binding protein potd (tc 3.a.1.11.1)
GlpG protein (membrane protein of glp regulon)	glpg protein (membrane protein of glp regulon)
putative von Willebrand factor type A domain- containing protein	putative von willebrand factor type a domain- containing protein
Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	acylphosphate phosphohydrolase (ec 3.6.1.7), putative
Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC	hypothetical protein yggs, proline synthase co-transcribed bacterial homolog prosc
glutamyl-Q-tRNA synthetase	glutamyl-q-trna synthetase
Glycerol uptake facilitator protein	glycerol uptake facilitator protein
UDP-galactopyranose mutase (EC 5.4.99.9)	udp-galactopyranose mutase (ec 5.4.99.9)
Inositol-1-phosphate synthase (EC 5.5.1.4)	inositol-1-phosphate synthase (ec 5.5.1.4)
2-isopropylmalate synthase (EC 2.3.3.13)	2-isopropylmalate synthase (ec 2.3.3.13)
COG family: predicted phosphohydrolases	cog family: predicted phosphohydrolases
cation transporter	cation transporter
CBSS-498211.3.peg.1514: hypothetical protein	cbss-498211.3.peg.1514: hypothetical protein
FIG007317: hypothetical protein	fig007317: hypothetical protein
FIG005429: hypothetical protein	fig005429: hypothetical protein
Thiol peroxidase, Bcp-type (EC 1.11.1.15)	thiol peroxidase, bcp-type (ec 1.11.1.15)
FIG00672068: hypothetical protein	fig00672068: hypothetical protein
FIG033285: Conserved MCE associated transmembrane protein	fig033285: conserved mce associated transmembrane protein
FIG00423848: hypothetical protein	fig00423848: hypothetical protein
Predicted glutamine amidotransferase	predicted glutamine amidotransferase
Kup system potassium uptake protein	kup system potassium uptake protein
Putative deoxyribonuclease YcfH	putative deoxyribonuclease ycfh
Transcriptional regulator, HxlR family	transcriptional regulator, hxlr family
Rrf2-linked NADH-flavin reductase	rrf2-linked nadh-flavin reductase
COG2110, Macro domain, possibly ADP-ribose binding module	cog2110, macro domain, possibly adp-ribose binding module
NAD-dependent protein deacetylase of SIR2 family	nad-dependent protein deacetylase of sir2 family
Methionyl-tRNA synthetase (EC 6.1.1.10)	methionyl-trna synthetase (ec 6.1.1.10)
rRNA small subunit methyltransferase I	rrna small subunit methyltransferase i
CONSERVED MEMBRANE PROTEIN	conserved membrane protein
Chitinase (EC 3.2.1.14)	chitinase (ec 3.2.1.14)
DedA protein	deda protein
Mg(2+) transport ATPase protein C	mg(2+) transport atpase protein c
hydrolase, haloacid dehalogenase-like family	hydrolase, haloacid dehalogenase-like family
HspR, transcriptional repressor of DnaK operon	hspr, transcriptional repressor of dnak operon
Heat shock protein GrpE	heat shock protein grpe
Chaperone protein DnaK	chaperone protein dnak
Alkaline phosphatase (EC 3.1.3.1)	alkaline phosphatase (ec 3.1.3.1)
Putative ABC transport system membrane protein	putative abc transport system membrane protein
Trehalose synthase (EC 5.4.99.16)	trehalose synthase (ec 5.4.99.16)
Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	maltose/maltodextrin abc transporter, substrate binding periplasmic protein male
Maltose/maltodextrin ABC transporter, permease protein MalF	maltose/maltodextrin abc transporter, permease protein malf
Maltose/maltodextrin ABC transporter, permease protein MalG	maltose/maltodextrin abc transporter, permease protein malg
Multiple sugar ABC transporter, membrane-spanning permease protein MsmG	multiple sugar abc transporter, membrane-spanning permease protein msmg
Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	multiple sugar abc transporter, membrane-spanning permease protein msmf
Multiple sugar ABC transporter, substrate-binding protein	multiple sugar abc transporter, substrate-binding protein
putative phosphoglycerate mutase family protein	putative phosphoglycerate mutase family protein
Amino acid transporters	amino acid transporters
Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)	oxygen-insensitive nadph nitroreductase (ec 1.-.-.-)
transport protein	transport protein
oxidoreductase of aldo/keto reductase family, subgroup 1	oxidoreductase of aldo/keto reductase family, subgroup 1
YgjD/Kae1/Qri7 family, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	ygjd/kae1/qri7 family, required for threonylcarbamoyladenosine (t(6)a) formation in trna
Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	ribosomal-protein-s18p-alanine acetyltransferase (ec 2.3.1.-)
Inactive homolog of metal-dependent proteases, putative molecular chaperone	inactive homolog of metal-dependent proteases, putative molecular chaperone
ATPase YjeE, predicted to have essential role in cell wall biosynthesis	atpase yjee, predicted to have essential role in cell wall biosynthesis
DNA polymerase III delta subunit (EC 2.7.7.7)	dna polymerase iii delta subunit (ec 2.7.7.7)
FIG00672410: hypothetical protein	fig00672410: hypothetical protein
competence protein ComEA helix-hairpin-helix repeat protein	competence protein comea helix-hairpin-helix repeat protein
Leucyl-tRNA synthetase (EC 6.1.1.4)	leucyl-trna synthetase (ec 6.1.1.4)
Magnesium and cobalt transport protein CorA	magnesium and cobalt transport protein cora
cadmium resistance transporter, putative	cadmium resistance transporter, putative
FIG00672247: hypothetical protein	fig00672247: hypothetical protein
FIG00423926: hypothetical protein	fig00423926: hypothetical protein
COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	cog1180: radical sam, pyruvate-formate lyase-activating enzyme like
Candidate gene for the hypothesized phosphomevalonate decarboxylase; COG1355, Predicted dioxygenase	candidate gene for the hypothesized phosphomevalonate decarboxylase; cog1355, predicted dioxygenase
Iojap protein	iojap protein
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	n-acetylglucosamine-1-phosphate uridyltransferase (ec 2.7.7.23) / glucosamine-1-phosphate n-acetyltransferase (ec 2.3.1.157)
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	nicotinate-nucleotide adenylyltransferase (ec 2.7.7.18)
FIG00423917: hypothetical protein	fig00423917: hypothetical protein
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	gamma-glutamyl phosphate reductase (ec 1.2.1.41)
Threonine synthase (EC 4.2.3.1)	threonine synthase (ec 4.2.3.1)
possible GntR-family transcriptional regulator	possible gntr-family transcriptional regulator
FIG00672540: hypothetical protein	fig00672540: hypothetical protein
DNA repair protein RecN	dna repair protein recn
NAD kinase (EC 2.7.1.23)	nad kinase (ec 2.7.1.23)
Potassium uptake protein, integral membrane component, KtrB	potassium uptake protein, integral membrane component, ktrb
Potassium uptake protein, integral membrane component, KtrA	potassium uptake protein, integral membrane component, ktra
RNA binding methyltransferase FtsJ like	rna binding methyltransferase ftsj like
4-nitrophenylphosphatase (EC 3.1.3.41)	4-nitrophenylphosphatase (ec 3.1.3.41)
TPR-repeat-containing protein	tpr-repeat-containing protein
Tyrosyl-tRNA synthetase (EC 6.1.1.1)	tyrosyl-trna synthetase (ec 6.1.1.1)
FIG028593: membrane protein	fig028593: membrane protein
HD family hydrolase, diverged	hd family hydrolase, diverged
Argininosuccinate lyase (EC 4.3.2.1)	argininosuccinate lyase (ec 4.3.2.1)
Argininosuccinate synthase (EC 6.3.4.5)	argininosuccinate synthase (ec 6.3.4.5)
Arginine pathway regulatory protein ArgR, repressor of arg regulon	arginine pathway regulatory protein argr, repressor of arg regulon
Ornithine carbamoyltransferase (EC 2.1.3.3)	ornithine carbamoyltransferase (ec 2.1.3.3)
Acetylornithine aminotransferase (EC 2.6.1.11) / N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)	acetylornithine aminotransferase (ec 2.6.1.11) / n-succinyl-l,l-diaminopimelate aminotransferase (ec 2.6.1.17)
Acetylglutamate kinase (EC 2.7.2.8)	acetylglutamate kinase (ec 2.7.2.8)
Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)	glutamate n-acetyltransferase (ec 2.3.1.35) / n-acetylglutamate synthase (ec 2.3.1.1)
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	n-acetyl-gamma-glutamyl-phosphate reductase (ec 1.2.1.38)
Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	phenylalanyl-trna synthetase beta chain (ec 6.1.1.20)
Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	phenylalanyl-trna synthetase alpha chain (ec 6.1.1.20)
FIG011178: rRNA methylase	fig011178: rrna methylase
Hypothetical protein ywlG	hypothetical protein ywlg
Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	duplicated atpase component ykod of energizing module of thiamin-regulated ecf transporter for hydroxymethylpyrimidine
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	acetylornithine deacetylase/succinyl-diaminopimelate desuccinylase and related deacylases
CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase	cblz, a non-orthologous displasment for alpha-ribazole-5'-phosphate phosphatase
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (ec 1.8.1.4)
Transmembrane protein MT2276, clustered with lipoate gene	transmembrane protein mt2276, clustered with lipoate gene
Septum site-determining protein MinD	septum site-determining protein mind
DNA ligase (EC 6.5.1.2)	dna ligase (ec 6.5.1.2)
FIG00672046: hypothetical protein	fig00672046: hypothetical protein
FIG00424960: hypothetical protein	fig00424960: hypothetical protein
probable aminotransferase	probable aminotransferase
Polyphosphate glucokinase (EC 2.7.1.63)	polyphosphate glucokinase (ec 2.7.1.63)
Substrate-specific component RibU of riboflavin ECF transporter	substrate-specific component ribu of riboflavin ecf transporter
possible fused ATP binding protein and permease of ABC transporter	possible fused atp binding protein and permease of abc transporter
Putative cytoplasmic protein	putative cytoplasmic protein
Threonine dehydratase, catabolic (EC 4.3.1.19)	threonine dehydratase, catabolic (ec 4.3.1.19)
Oligo-1,6-glucosidase (EC 3.2.1.10)	oligo-1,6-glucosidase (ec 3.2.1.10)
putative exodeoxyribonuclease V	putative exodeoxyribonuclease v
"Macrolide export ATP-binding/permease protein MacB "	"macrolide export atp-binding/permease protein macb "
prophage pi3 protein 59	prophage pi3 protein 59
Protein of unknown function DUF81	protein of unknown function duf81
Alpha-galactosidase (EC 3.2.1.22)	alpha-galactosidase (ec 3.2.1.22)
tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	trna-specific adenosine-34 deaminase (ec 3.5.4.-)
Na+/H+ antiporter	na+/h+ antiporter
possible phospholipase/carboxylesterase	possible phospholipase/carboxylesterase
cation-transporting ATPase PacL	cation-transporting atpase pacl
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	23s rrna (guanosine-2'-o-) -methyltransferase rlmb (ec 2.1.1.-)
Chromosome segregation ATPases	chromosome segregation atpases
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	maltose/maltodextrin transport atp-binding protein malk (ec 3.6.3.19)
COG0515: Serine/threonine protein kinase	cog0515: serine/threonine protein kinase
FIG00672431: hypothetical protein	fig00672431: hypothetical protein
Cell wall-binding protein	cell wall-binding protein
Dimethyladenosine transferase (EC 2.1.1.-)	dimethyladenosine transferase (ec 2.1.1.-)
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	4-diphosphocytidyl-2-c-methyl-d-erythritol kinase (ec 2.7.1.148)
FIG00672054: hypothetical protein	fig00672054: hypothetical protein
tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	trna nucleotidyltransferase (ec 2.7.7.21) (ec 2.7.7.25)
FIG00672548: hypothetical protein	fig00672548: hypothetical protein
Virulence factor mviN	virulence factor mvin
Thioredoxin reductase (EC 1.8.1.9)	thioredoxin reductase (ec 1.8.1.9)
Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J	chromosome (plasmid) partitioning protein parb / stage 0 sporulation protein j
rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB	rrna small subunit 7-methylguanosine (m7g) methyltransferase gidb
RNA-binding protein Jag	rna-binding protein jag
Inner membrane protein translocase component YidC, long form	inner membrane protein translocase component yidc, long form
Protein YidD	protein yidd
LSU ribosomal protein L34p	lsu ribosomal protein l34p
Chaperonin GroEL (HSP60 family)	chaperonin groel (hsp60 family)
PE-PGRS FAMILY PROTEIN	pe-pgrs family protein
4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)	4'-phosphopantetheinyl transferase of fasi (ec 2.7.8.7)
COG1484: DNA replication protein	cog1484: dna replication protein
Acyltransferase 3	acyltransferase 3
glycosyl transferase family 2	glycosyl transferase family 2
glycosyl transferase group 1	glycosyl transferase group 1
ABC transporter	abc transporter
Integrase, catalytic region	integrase, catalytic region
N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	n-acetylmannosamine-6-phosphate 2-epimerase (ec 5.1.3.9)
putative ABC transporter periplasmic binding protein	putative abc transporter periplasmic binding protein
ABC-type transporter, permease component	abc-type transporter, permease component
FIG00544816: hypothetical protein	fig00544816: hypothetical protein
FIG00547092: hypothetical protein	fig00547092: hypothetical protein
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	glucosamine-6-phosphate deaminase (ec 3.5.99.6)
conserved hypothetical protein with rhodanese-like domain	conserved hypothetical protein with rhodanese-like domain
FIG00424816: hypothetical protein	fig00424816: hypothetical protein
Transcriptional regulator, GntR family	transcriptional regulator, gntr family
COG family: Na+-dependent transporters of the Snf family	cog family: na+-dependent transporters of the snf family
FIG00424305: hypothetical protein	fig00424305: hypothetical protein
Beta-hexosaminidase (EC 3.2.1.52)	beta-hexosaminidase (ec 3.2.1.52)
FIG00425976: hypothetical protein	fig00425976: hypothetical protein
Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	alpha-l-rha alpha-1,2-l-rhamnosyltransferase/alpha-l-rha alpha-1,3-l- rhamnosyltransferase (ec 2.4.1.-)
Glucosyl tranferase II	glucosyl tranferase ii
Acyl-CoA reductase (EC 1.2.1.50)	acyl-coa reductase (ec 1.2.1.50)
FIG00424171: hypothetical protein	fig00424171: hypothetical protein
FIG00423914: hypothetical protein	fig00423914: hypothetical protein
Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase	sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase
possible TetR-type transcriptional regulator	possible tetr-type transcriptional regulator
Polyketide synthase	polyketide synthase
large transmembrane protein possibly involved in transport	large transmembrane protein possibly involved in transport
COG0395: ABC-type sugar transport system, permease component	cog0395: abc-type sugar transport system, permease component
Multiple sugar ABC transporter, membrane- spanning permease protein MsmF	multiple sugar abc transporter, membrane- spanning permease protein msmf
FIG00424248: hypothetical protein	fig00424248: hypothetical protein
FIG00425928: hypothetical protein	fig00425928: hypothetical protein
FIG00426715: hypothetical protein	fig00426715: hypothetical protein
FIG00424946: hypothetical protein	fig00424946: hypothetical protein
Membrane protein involved in colicin uptake	membrane protein involved in colicin uptake
FIG00423794: hypothetical protein	fig00423794: hypothetical protein
conserved domain protein	conserved domain protein
Transcriptional regulators	transcriptional regulators
FIG00426356: hypothetical protein	fig00426356: hypothetical protein
FIG00424325: hypothetical protein	fig00424325: hypothetical protein
FIG00425858: hypothetical protein	fig00425858: hypothetical protein
Predicted glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21), Actinobacterial type	predicted glycogen synthase, adp-glucose transglucosylase (ec 2.4.1.21), actinobacterial type
67 kDa Myosin-crossreactive streptococcal antigen	67 kda myosin-crossreactive streptococcal antigen
COG family: predicted transcriptional regulator	cog family: predicted transcriptional regulator
Mycobacterial persistence regulator MprA (Two component response transcriptional regulatory protein)	mycobacterial persistence regulator mpra (two component response transcriptional regulatory protein)
Serine protease inhibitor (serpin family)	serine protease inhibitor (serpin family)
COG0778: Nitroreductase	cog0778: nitroreductase
FIG01281365: hypothetical protein	fig01281365: hypothetical protein
FIG00424399: hypothetical protein	fig00424399: hypothetical protein
FIG00425949: hypothetical protein	fig00425949: hypothetical protein
L-lysine permease	l-lysine permease
Membrane-associated phospholipid phosphatase	membrane-associated phospholipid phosphatase
5'-nucleotidase (EC 3.1.3.5)	5'-nucleotidase (ec 3.1.3.5)
Esterase/lipase	esterase/lipase
Glucose/mannose:H+ symporter GlcP	glucose/mannose:h+ symporter glcp
Two-component response regulator yesN	two-component response regulator yesn
FIG01258360: hypothetical protein	fig01258360: hypothetical protein
Cold shock protein CspG	cold shock protein cspg
widely conserved MoxR-like protein in magnesium chelatase family	widely conserved moxr-like protein in magnesium chelatase family
FIG00672374: hypothetical protein	fig00672374: hypothetical protein
